"","flL1L2-ERR1466827","flL1L2-ERR1466828","FLF-ERR1466829","FLF-ERR1466830","FLM-ERR1466831","FLM-ERR1466832","iL3-ERR1466833","iL3-ERR1466834","PF-ERR1466835","pL1L2-ERR1466836"
"SPAL_0001006300",2.59843903218889,2.46048208413424,3.8104071948223,4.14864621646392,2.93631176119159,3.62244036572143,0.113272705953018,0.498884324470619,4.24578790805082,2.55404867892013
"SPAL_0001006400",-1.37496058328749,4.66134582112639,1.56194426316375,0.801528274612201,6.75434390327022,7.30207202908636,-4.93162558257181,-1.7956181718756,-1.16869381452208,-2.17243756901557
"SPAL_0001006500",6.74635761498532,5.26645092823308,6.71589541074043,7.06848332952281,5.85231035144985,6.01196706640205,4.8316222458258,4.86264430215343,6.36709715718624,6.49114754587492
"SPAL_0001006600",8.25758179903776,7.877404205313,7.57437534720245,7.15197009456164,7.4975121309223,7.13226345968947,6.47335443607352,7.00982166078552,6.45217651121535,8.37123811999385
"SPAL_0001006700",5.00008861647373,4.8849712407127,6.45788343912507,6.84595938850771,5.28986398389784,5.80148456436225,5.50937075996239,5.99892775833583,6.17156662796727,5.24410006963298
"SPAL_0001006800",-2.10840750377658,2.74916640406893,-0.277439728654271,-0.171535806328701,4.33137373845582,4.60045420496733,-1.23102802288677,-1.39880835592475,-1.78545091920853,-1.51819989417125
"SPAL_0001006900",5.01240377836766,3.85342948532775,5.60571178093475,5.45437876265705,5.13732731016417,4.97671946071572,4.63401796569868,4.47166087852797,5.69963588953983,4.90497529592801
"SPAL_0001007000",6.67052985029122,6.86651188926573,6.98496610225409,6.97152920401917,6.35326636233904,6.40775291584662,5.82647840687069,6.28817371973194,6.12169616798258,7.07726210462428
"SPAL_0001007100",2.87472101860061,2.76345672718374,0.963750153340633,1.05892343644694,1.79102675515018,1.69873780042189,4.92089046602959,5.43654309097692,0.284819417928294,3.10332686991384
"SPAL_0001007200",2.49411766742372,3.19708085149989,0.166076779162147,1.00987212204578,1.64801536373781,1.4266840915861,2.64222182081815,2.95657310215818,-0.404478150325441,2.17541301081141
"SPAL_0001007300",6.93106102360136,6.48504775750151,5.2852682248259,4.64498700865483,5.15250557941489,4.33604987048214,2.17055489322226,1.85960999056458,4.77493218922701,5.98774173566274
"SPAL_0001007400",4.53067330541876,6.57297916285337,5.46680098818037,5.55701164348703,7.33368937092475,7.8362824161133,5.1612237748475,5.46400983349154,4.84727433439332,4.26333758336137
"SPAL_0001007500",4.12400384275926,4.45406965988746,4.44484014721786,4.30857077707626,4.34674785130087,4.40004175847324,4.93121569448594,5.3018373505373,3.59959041409241,3.49052548159333
"SPAL_0001007600",4.90022562008445,5.07233653239353,5.69982767526899,5.46838703135493,5.58437813769934,5.61970863077748,4.64284494864352,4.18582442912248,5.59322713750095,5.00532384135709
"SPAL_0001007700",2.76414709052665,4.48639207534912,5.13504970100414,5.06917314805391,3.51364360689388,3.3244121394179,2.44753836304855,2.90939128194125,5.63404350697397,4.89507933354421
"SPAL_0001007800",3.17992816029175,4.31137817007841,5.15632446617434,5.13466711814602,4.51158331511596,4.43425603485042,2.26494542715759,2.63521027842164,5.98363478676077,4.27362412426258
"SPAL_0001007900",5.14202788384401,5.27788397039051,5.80088543925785,5.85528314498706,5.47394474633209,5.66615338081605,5.86351794368133,5.79646904377813,5.87702266324592,5.39377608274718
"SPAL_0001008000",4.0587419194289,3.52314371459962,4.61874715060851,4.17072098278946,4.33080931381418,4.05588493715853,3.8838526936459,4.08509859760299,4.83474172333782,4.33183987110061
"SPAL_0001008100",4.6597259225499,4.36867862448066,5.24250732449901,5.54610218823906,4.66149977500717,4.98583764360746,4.67402082723919,4.68802107204741,5.06399515432098,4.69379806492173
"SPAL_0001008200",1.83638814484139,3.23765934002851,5.07870967736847,5.4839429770023,3.95406621942875,4.40152706550741,5.55879691765761,5.40452260697316,3.84454407311246,2.36809607461518
"SPAL_0001008300",5.03903899549396,6.10104063800973,7.19426062410771,6.66518956521169,6.1954213845023,5.54256642976429,4.83150693226458,4.73447473414915,6.68360138858708,6.84125999774722
"SPAL_0001008400",6.05790902290352,5.2588127372728,6.3787621642997,6.63198202662224,5.09318436819048,5.16508795778277,4.1681693311653,3.97080636166991,6.63928186536132,6.10519800972059
"SPAL_0001008500",1.49542769266803,2.36119489628,2.60329926003035,3.14067549746722,2.71127243446958,3.0516233434624,1.00276988327255,1.6125538561116,3.49063104881466,1.76799348985603
"SPAL_0001008600",4.43431559037963,4.62487515340409,6.46098009015454,6.63263088917283,5.28789084094897,5.30328377877174,5.0251257837869,5.02752542601026,5.5392291689588,4.93740865640393
"SPAL_0001008700",2.32381618565746,3.25631614748935,3.50249501202304,3.68838627317353,3.08012192022178,3.46503720944778,0.0344016388633828,0.447020499972486,3.9232987714227,3.0719373465427
"SPAL_0001008800",0.271905568978907,5.37626598377245,2.02706664364072,1.28352810864353,7.10120555735981,7.34000659352977,-3.34838956206221,-1.79594411110447,2.77083053824973,-0.5883188223193
"SPAL_0001008900",-0.52537492323775,3.87243361238437,-0.591965338791455,-0.743468426517096,5.17103706272994,5.04380539300109,-0.845076962016959,-0.333155058934517,-2.88514726220474,-1.27844398907056
"SPAL_0001009000",5.81781849262692,5.44312865095602,5.08348833320678,4.27276267537207,5.67011449980475,5.55790515842829,8.26677937492131,8.21286193181922,3.05845228205894,5.97215000153705
"SPAL_0001009100",1.40143491926077,4.07841199495395,5.40087840643666,5.14472986852071,4.93828385951478,5.36352482595476,0.792209907725798,0.432691882809024,6.00971070172406,3.11023375661488
"SPAL_0001009200",8.37254552684943,8.06027649438812,8.14710828633424,7.92448553417728,8.31681895541747,8.60492760983812,7.85772625129302,7.85840147112912,7.89457016860468,7.84097296417306
"SPAL_0001009300",4.78515083065349,4.5218484455169,5.74490809200154,6.41140320542364,4.06383725423264,4.61674295636735,5.61674297138412,5.43158775315792,5.05738336789231,4.24598715209914
"SPAL_0001009400",4.45306022141487,4.1926957954648,6.03328104072889,6.44251667266874,5.06047565190355,5.39955920072518,5.0891894528273,5.0299894631249,6.3817379704372,4.73817814473859
"SPAL_0001009500",1.4482448544887,2.31096863859029,1.63210873340809,1.9993966630668,3.39145511864587,3.54917027704657,2.19498523177544,2.51492296241636,1.25107476099166,1.66037341789841
"SPAL_0001009600",3.43853484881979,2.82252431289821,3.10940578051533,3.04151580272346,2.92958618934786,3.02400646433968,4.18972135758229,4.68206943947575,2.66077403385675,3.33929729597088
"SPAL_0001009700",5.84703886292096,5.13429822769344,6.74463305633238,7.03509663355353,5.14813178597038,5.24147371964901,5.6823426284238,5.72615003841933,6.69332127456311,6.14164990623512
"SPAL_0001009800",5.60537579564538,6.81406953554718,7.41121240713263,7.41312049416508,7.15842885336955,7.07359784614391,5.10348012970197,5.08133599916295,7.34538714599382,6.31107785082964
"SPAL_0001009900",5.20735777928019,5.04949214381784,7.39027821876594,8.1710865785149,5.10887249794444,6.22324336309718,7.25706845611875,7.35769788144378,6.97334499767298,5.15655410709085
"SPAL_0001010000",3.92973652688377,4.8335217119658,5.74914161796205,5.96783262980883,4.29357445908722,4.95362010907258,5.98701603600796,6.15574483338894,5.34242840914919,4.57258561693176
"SPAL_0001010100",5.95490969002315,3.99762902796378,4.26733253453061,2.06925441889147,4.76006843023824,4.08930075006009,7.0491739034016,6.8181715007254,1.34240979387521,5.58129896980708
"SPAL_0001010200",1.1296580538488,-0.146941930045956,-0.681673203444549,-1.71258040005309,-0.866908942332076,-2.20901941959191,-1.47272052224388,-0.609326037596631,-1.99200202589879,0.379011960530888
"SPAL_0001010250",3.62624367092645,1.79333119780672,-0.12914460749247,-0.329171780117414,0.77625302991649,1.10177821250485,5.6320534397295,5.42024009429826,0.751837713472459,2.32904732083426
"SPAL_0001010300",6.96542961728052,6.47126889850362,5.9372588416978,6.26564197058526,5.61659831134655,6.05351619093356,5.51432139300063,6.03738648970971,5.3455928204575,7.04234504281988
"SPAL_0001010400",5.69097873465399,5.6241579470807,5.61124146858436,6.29636062501226,4.13874849624453,4.42762217781986,6.87661187483373,7.02913286147069,5.13864510007008,5.74070311924469
"SPAL_0001010450",-2.94119062008629,-2.62559417650341,-2.8043881621602,-2.52593288882864,-2.95390522142564,-4.34216678169573,-1.03394629007012,-1.05987988706373,-2.5325961860134,-1.82183004294203
"SPAL_0001010500",6.25704301379853,5.16458206785151,4.98151004752461,5.20317367550962,4.7396475648296,4.26025374251273,6.55997770471861,6.85462119942939,5.23123110211209,6.38039797374493
"SPAL_0001010600",2.49456932597025,3.8539262923263,3.3833164328023,3.63945395271132,4.97496751189089,5.17039779480776,3.75048863257732,3.67325773315273,3.88306941007109,2.83486908007152
"SPAL_0001010700",10.5978493972569,9.93206993890474,10.2262819791728,10.6587613577471,9.61505887215651,9.2721323715402,8.99167622281384,8.67750916967305,10.422370291248,9.95376319300055
"SPAL_0001010800",5.24759638099292,5.01680625871663,6.64531121140547,7.13958936414073,5.42761919354911,5.54240093841234,6.07500448825119,6.55658859954406,6.65226613854956,5.2235396427612
"SPAL_0001010900",5.07060716412696,4.65591476677745,5.77442845895014,5.50589944431031,5.72877261422266,5.79561472813488,3.85929535645309,3.71092200239673,6.24609904909058,5.26618653279154
"SPAL_0001011000",2.90269032587763,1.75080412181907,0.97697069623318,2.64047052618212,0.246389875697126,0.0482410060736851,2.7433813217101,1.80469787021974,-0.13646168100335,2.56494799552404
"SPAL_0001011100",7.90658109147421,7.05971161356643,7.48326693718527,7.6517193744741,6.92604488303654,6.80597658880321,7.36254726319526,7.75455128794445,6.77481925826312,7.96985053311976
"SPAL_0001011133",4.19559637871677,2.55393950684369,3.6911574654257,3.00766668930931,2.90436011843679,1.80618809794239,3.45803322321066,3.62485940950849,2.09582943337846,4.08569040373257
"SPAL_0001011166",-1.00609975528453,-2.13662142759551,-2.80715738633208,-3.45530623215169,-1.83341463233867,-1.69183864091781,-0.528675103276344,-1.51568236387314,-4.1051456687592,-0.878072187624447
"SPAL_0001011200",3.5798724330309,2.86089613304258,1.67105302422932,2.09129183955092,1.64462036310039,1.19792029180219,2.18165804489705,2.4621572273153,1.98638949078774,3.28726311458685
