"","FLF-SAMD00096905","FLF-SAMD00096906","FLF-SAMD00096907","PF-SAMD00096908","PF-SAMD00096909","PF-SAMD00096910"
"SVE_0581700",1.40728091663438,1.25395509499189,1.5582062545758,1.63467227241945,1.35620514219779,1.81862358340023
"SVE_0581800",-0.171019948788832,1.09292309548163,-0.614055473894098,0.283721278722453,0.38718880824256,0.719636195885007
"SVE_0581900",7.17993354258371,6.80251029403473,6.87509709776687,7.39909465115415,7.3312041429646,7.31360926987989
"SVE_0582000",3.01573017094048,2.50391875006865,3.21052838859455,2.06321373767772,1.55122426336075,2.1112562375059
"SVE_0582100",5.40263387911332,5.65299521017903,5.32885441886343,4.92293254576763,5.04026782700166,4.77256674856768
"SVE_0582200",4.77445447255598,4.58058292447546,4.80732587609269,3.15082885411618,3.17805230653586,3.27770927295186
"SVE_0582300",4.52722067206656,4.94916825307961,3.99333175382841,4.3089595813814,4.25103987057174,4.17303518738933
"SVE_0582400",0.76244858471475,0.97446016140838,0.477011614820201,-0.852916271164793,-0.496385950990648,-1.20565012938112
"SVE_0582500",2.25432262176933,2.04615578539481,2.32340378743294,3.33685846859265,3.45122222704115,3.68553134761224
"SVE_0582600",-2.36974534397955,-2.66317439423125,-1.79824492329239,-1.17589413609955,-1.36318182488303,-2.00411243920768
"SVE_0582700",2.22158316481326,1.90270778376027,2.40898712567784,1.68459665666407,1.30435873866996,1.53248578559762
"SVE_0582800",6.04813583944941,5.49555168786192,6.61630417463181,5.99659379738691,6.39141102241833,6.27658831231655
"SVE_0582900",8.34383708489392,8.3082267567798,7.59047018368524,9.21109421852338,9.72897623728976,9.67984269468884
"SVE_0583000",6.6259839538501,6.76109619132818,6.54720086496684,6.4108698890709,6.38395705292199,6.22166458617424
"SVE_0583300",6.54895485406306,7.02927288781456,6.63317849193679,6.50344137517276,6.25845661422769,6.2802633640268
"SVE_0583400",2.08366968299299,2.60169624534619,2.17387923006793,2.4086449557148,2.72856876679477,2.69759596012927
"SVE_0583500",1.44716211617803,1.4365745743812,1.19486687794912,1.60276179428307,2.02189235503567,2.08210867238915
"SVE_0583600",-0.487153833046137,-5.63425217969434,-2.33010518161108,-0.816071873097536,-1.10641904007576,-1.4727954323266
"SVE_0583700",2.5797584249124,2.31177769973468,2.1854401781852,-1.97957205924422,-1.09526871122748,-1.19243964882419
"SVE_0583800",-0.565655795841599,-1.01973993760845,-4.16101501038282,-0.211699285431683,-0.368669278532315,-1.59773702831814
"SVE_0583900",4.53515622276733,4.11430344817627,4.34727031802868,3.9525128087825,3.73424221658836,3.73729110413549
"SVE_0584000",2.80653726657459,2.43661163804397,3.00934260090266,2.0217356689642,1.41382126661966,1.55905428487979
"SVE_0584100",2.76672667255276,3.06786011739422,3.44977358127739,2.47459056655933,2.3396605325989,3.01372230872899
"SVE_0584200",6.60397310745633,6.40241629600635,5.85272581115009,6.63146448839182,6.27356883118231,6.25520267781315
"SVE_0584300",-0.0389386899671593,-0.236137541200527,-1.71064711000376,-2.43555429329707,-3.91002155024975,-2.01814702972672
"SVE_0584500",1.46492988478222,2.04856404203145,2.61309092086848,0.482298323509931,-1.02118193434049,0.262157323454584
"SVE_0584600",6.82244496250556,6.92763590271485,6.39749401106605,7.25266649350419,7.53083603906992,7.46820942025456
"SVE_0584700",4.27003554338357,4.98971380225179,4.51377958782839,4.79506776961035,4.38896689810999,4.13575528140747
"SVE_0584900",-2.11642702119137,-2.91630687697222,-4.50962735124336,-0.210123071791541,-1.57956603061226,-0.359349050624745
"SVE_0585000",-0.783022661898865,0.053721945543523,1.30684228274348,1.19001394317078,0.416534042587251,0.484490461370968
"SVE_0585100",6.69373222459778,7.60250347493747,4.45867406679181,6.11320127022035,5.6626245862253,5.70003167579223
"SVE_0585200",1.12909007267652,1.96038252757308,-0.01324996306505,-2.34651602656621,-1.0933538956731,-3.16774508743636
"SVE_0585300",4.60270569823064,5.33450529487721,4.24355649618169,3.70535763158798,3.29992828385891,3.36901876360046
"SVE_0585400",2.17741149624929,1.9228017020108,2.52251635977821,2.08683909714863,2.42063268918756,1.77631403840545
"SVE_0585500",-0.0239578306215215,-5.63426260524149,-0.571605828135162,-2.34147691798061,-1.96154672941946,-3.17806225671105
"SVE_0585600",1.86190279961919,1.60771013896223,1.79825610773958,2.33945837361089,2.68255502570503,2.3663282089303
"SVE_0585700",-0.118881784591665,0.689881077394871,0.0242945122068184,-3.55351738387596,-3.9099941151258,-3.96980522993846
"SVE_0585800",-0.410647429031124,-1.17247062871439,-0.143067392685164,-3.56452391412427,-3.11664163487516,-3.17690350184109
"SVE_0585900",6.66102202275489,6.49817619331312,5.76646932103625,7.12158516468702,6.90096964972406,7.20507327176841
"SVE_0586000",3.67422380033036,3.65309233015305,2.92931436872937,3.98215509919385,4.12583576865666,4.10523427456225
"SVE_0586100",-2.79908456471808,-4.84484013590097,-4.49745494047017,-0.286627961874267,-0.561951911857918,0.685576533571258
"SVE_0586300",-0.17728925067344,-0.9176904961855,-1.04187901994261,0.273530993600724,-0.515434838662573,-0.443342565922136
"SVE_0586700",3.27873994239035,3.75604283015307,3.54819238768878,3.35636888895234,2.9307754905459,2.96419239313641
"SVE_0586800",2.61502056198624,1.96389092580458,3.11930014059554,1.93013388657368,1.58651521551716,1.61869228793814
"SVE_0587000",0.512905348499985,-0.0342445305079608,-0.514792727842541,-0.552586613380016,-0.135911515135553,-1.07065302884042
"SVE_0587100",2.05303746347978,2.71424451008395,2.07182403270176,2.31580475186031,2.34487302577122,2.33339758806078
"SVE_0587200",5.20993152589935,4.41130431116658,4.81531130546708,5.04112295874641,4.84636475483215,5.46082171775165
"SVE_0587400",2.25197437658002,2.53179740558622,1.83553347213153,2.64728361322811,2.20781510543759,2.68654964283897
"SVE_0587500",-1.45673702243513,-4.07301239220791,-0.467663562790124,-1.72925132963734,-3.91002240627919,-1.74398593785207
"SVE_0587700",6.07370344044655,6.54748643072155,6.35627047242911,6.00473380805892,5.76267477786439,5.46269081279494
"SVE_0587800",1.35809996255275,1.85642094725902,2.1905836539118,1.66707078542844,1.8479633329938,1.74405021277189
"SVE_0588100",1.38242227808416,2.16166044103242,0.552820751591879,1.47347623607652,1.32044175043653,1.18021255272024
"SVE_0588200",7.4407510356447,7.03608454838465,7.53311960551239,7.2239337113097,7.14771774336703,7.27102818958268
"SVE_0588300",4.99842668842275,4.44782181335427,5.04091118159889,5.01653363100572,4.91833988868079,5.11276144147811
"SVE_0588400",7.97932814097297,7.56473385921907,7.80617754398406,8.6201537339467,8.43664713421795,8.41730411210101
"SVE_0588500",2.24700351227052,0.717008673362343,2.71084207259949,2.86763544738958,2.73804668251232,2.56875108842713
"SVE_0588600",2.64247532640566,1.6311728700875,2.25843045079984,1.69231017609086,1.54888227023348,0.808475871089194
"SVE_0588700",1.67045231156665,1.98260861943892,1.91352170622832,-1.28418274009838,-0.223139130275175,-1.28802094234768
"SVE_0588800",6.69416211811298,6.69503534066368,6.74703539069216,7.2035123620456,7.72138602577454,7.73829303570532
"SVE_0588900",5.38055274112329,5.91713980078447,5.05847754544893,5.3477380260084,5.52667019762364,5.43063679451617
"SVE_0589000",6.57572587372253,6.96629919652606,6.76714032809366,7.06003050511246,7.56927346548437,7.61040575434901
"SVE_0589100",4.26784080696157,3.85827729618887,4.83068637956766,4.4831964015249,4.14163599158134,4.56611995079149
"SVE_0589200",6.76445531457258,6.82313300104655,6.55690136898462,7.18837154692211,7.34274447402366,7.32488663480298
"SVE_0589300",4.46774570121021,4.91971724637206,4.54108338828622,4.72291940121972,4.96297911014989,4.84606805786055
"SVE_0589500",4.93540251369027,4.34825519984392,4.5346331687295,4.5063696032702,3.80135472672474,4.08862385070073
"SVE_0589600",1.30371889163301,1.44436621543456,0.620711235606309,0.780068665187558,0.539634433278242,0.58626694988045
"SVE_0589700",2.9410224363597,2.61749781584899,2.64349596931044,3.17307046570859,2.97681431508885,3.06736748254218
"SVE_0589800",3.51766523554126,2.94308230472584,3.22334086859854,2.53394610024828,2.52467820057421,2.53924117446411
"SVE_0589900",-0.180186533790518,-0.855697701303893,-0.0401127041946022,1.82358484414507,1.76117945728833,1.54698322284933
"SVE_0590000",-0.850465478198661,-0.797888086499215,0.10523412456643,0.630449168197872,0.137860402206558,0.406957836603403
"SVE_0590100",1.7769641184332,1.71515074800386,2.9223528200194,1.14723682130519,1.3528257412736,0.864512045564316
"SVE_0590200",1.5963073888589,0.56130359708465,2.00029145170065,0.45148137882737,0.259735330755821,0.123873284831724
"SVE_0590300",-0.668836184483896,0.673344171557483,-0.145715101786206,-0.953950901846956,-1.09534005858824,-0.629438614222835
"SVE_0590600",6.59008829093139,6.83485057057618,6.52664564645056,5.84067773515915,5.39652687005904,5.41191953996461
"SVE_0590700",5.42647588527512,5.35189552291824,5.11463491655824,4.92058296881596,4.79375062694054,4.70780752175768
"SVE_0590800",4.77089179621126,3.61786107612891,4.37347565303989,3.71599026371326,3.25458162729642,3.60245480754348
"SVE_0590900",4.20508957396011,4.52403324175185,4.78114240768963,4.71799026605646,5.10244527623763,4.81085262670763
"SVE_0591000",2.32525193228955,2.18940953913893,2.18915162699663,1.44929272785976,1.70869807433147,1.17657674348701
"SVE_0591100",5.93493655124689,5.59949434940084,2.83314108506073,0.744666426092628,-1.3402718727263,-0.398900481727807
"SVE_0591200",6.41395954715445,6.08717672877236,6.35776769935868,5.55185289275766,5.85851934442277,5.88989232241629
"SVE_0591300",5.02319504150748,5.09012775789074,4.26123984728711,4.42241361587734,4.74365335374533,4.32453368827411
