"","FLM-ERS091917","iL3-ERS092590","PF-ERS209991","PF-ERS209992","PF-ERS209993","FLF-ERS209994","FLF-ERS209995","FLF-ERS209996"
"SRAE_2000104200",-5.34218015621498,1.28073744365488,-3.19305759301084,-3.37477301503526,-5.08991050351328,-3.04914205205674,-2.32310625638992,-3.66256271523239
"SRAE_2000104300",5.16789299929976,5.69524630160658,5.86125103784497,5.88172254861537,5.72487706318894,5.95681911014674,5.80026837134441,5.89911403273121
"SRAE_2000104400",2.4089894442942,0.764844682094302,0.0468762155082642,-0.676353198702617,-0.543424640268582,1.53664785992405,1.38876645710226,1.42243739112019
"SRAE_2000104500",8.00565542768172,3.59496562538657,-2.03322807300311,-1.24239922052024,-1.65777658177476,2.94835155742885,0.856725804718226,3.03549984996131
"SRAE_2000104600",1.53972863954254,3.02440078474227,0.553994570446098,0.944887880264377,0.474087104217346,2.10465298430974,1.50923010026024,2.03543103522463
"SRAE_2000104700",3.51322782486081,4.08837505356289,7.18468960992951,7.1713235751649,7.24506853166052,6.85797896274638,7.02900919645873,6.96542354644616
"SRAE_2000104800",10.4972041698767,7.71223437768796,9.97526781458527,9.88723280492042,9.86661498200796,9.4067150493003,9.33426615747303,9.29734566979117
"SRAE_2000104900",-0.44730321340752,-1.63094095195198,0.7522464421572,0.675637845953123,0.386121725474548,0.6541874825341,0.419772691271242,0.458473458611302
"SRAE_2000105000",0.187819701708835,4.17610818699,5.15483574642916,5.20796299189384,5.23205691922025,4.73434078699397,4.55719625431319,4.76357530712919
"SRAE_2000105100",5.52607201405689,9.09405287558711,11.1752178103877,11.0426465586978,11.0875021689642,10.9862900574276,11.0014845971081,10.9949548275036
"SRAE_2000105200",5.30668461767624,3.51498615948563,5.70054662287109,5.64122674110296,5.71044611652188,5.13667022227352,5.04029907303863,5.09653897588167
"SRAE_2000105300",3.37485800463478,6.76016423204675,6.12060117300308,6.15879306269722,6.09632988921133,5.42477413712088,5.21127514758982,5.33789518206814
"SRAE_2000105400",5.75613010496037,8.95464795948213,6.30611416637149,6.25959681874234,6.07694956592276,5.19209111055474,5.09501373966526,5.06839690526249
"SRAE_2000105500",6.56599228662252,9.42246008752626,7.25000178425212,7.22522267349201,7.06503706373491,7.53049390272597,7.35860090339454,7.56235050485718
"SRAE_2000105600",5.30608574029706,-3.53537253657451,-0.723395197805773,-0.0447965230749312,-0.616579771171066,-0.063950791195809,-0.411342235320133,0.0420939625636962
"SRAE_2000105650",3.78043626246567,5.24330982677263,1.5098594252331,0.977854464219938,1.19184680033587,0.432634156248051,0.75436562675314,0.940128144226043
"SRAE_2000105700",-5.34218015621498,-1.2411855059167,-2.43637603356914,-1.56073647783716,-1.75772626507926,-1.65078035629154,-1.10877344672491,-1.41082579640601
"SRAE_2000105800",5.66642067375464,6.91830425774892,1.87836334693784,1.84766989856328,2.23185447939961,3.98180580010762,3.24378337152941,3.79934656638715
